Time (s),Pressure (mmHg),On Target
3.53,60.00,True
8.53,60.00,False
9.12,65.00,True
11.12,65.00,False
11.77,70.00,True
13.77,70.00,False
14.35,75.00,True
16.35,75.00,False
16.96,80.00,True
18.96,80.00,False
19.64,85.00,True
21.64,85.00,False
22.32,90.00,True
24.32,90.00,False
24.97,95.00,True
26.97,95.00,False
27.58,100.00,True
29.58,100.00,False
30.20,105.00,True
32.20,105.00,False
32.78,110.00,True
34.78,110.00,False
35.44,115.00,True
37.44,115.00,False
38.06,120.00,True
40.06,120.00,False
40.60,125.00,True
42.60,125.00,False
43.23,130.00,True
45.23,130.00,False
