Time (s),Pressure (mmHg),On Target
3.42,60.00,True
8.43,60.00,False
9.57,65.00,True
11.57,65.00,False
11.92,70.00,True
13.92,70.00,False
14.41,75.00,True
16.41,75.00,False
16.90,80.00,True
18.90,80.00,False
19.66,85.00,True
21.66,85.00,False
22.19,90.00,True
24.19,90.00,False
24.67,95.00,True
26.67,95.00,False
27.69,100.00,True
29.70,100.00,False
30.32,105.00,True
32.32,105.00,False
34.00,110.00,True
36.00,110.00,False
36.45,115.00,True
38.45,115.00,False
38.83,120.00,True
40.83,120.00,False
41.55,125.00,True
43.55,125.00,False
43.97,130.00,True
45.97,130.00,False
