Time (s),Pressure (mmHg),On Target
2.73,60.00,True
7.73,60.00,False
8.26,65.00,True
10.26,65.00,False
10.79,70.00,True
12.79,70.00,False
13.38,75.00,True
15.38,75.00,False
16.01,80.00,True
18.01,80.00,False
18.57,85.00,True
20.57,85.00,False
21.11,90.00,True
23.11,90.00,False
23.70,95.00,True
25.70,95.00,False
26.18,100.00,True
28.18,100.00,False
28.76,105.00,True
30.76,105.00,False
31.43,110.00,True
33.43,110.00,False
33.96,115.00,True
35.96,115.00,False
36.46,120.00,True
38.46,120.00,False
39.08,125.00,True
41.08,125.00,False
41.62,130.00,True
43.62,130.00,False
