Time (s),Pressure (mmHg),On Target
5.95,20.00,True
10.95,20.00,False
13.15,25.00,True
15.15,25.00,False
16.10,30.00,True
18.10,30.00,False
19.06,35.00,True
21.06,35.00,False
21.81,40.00,True
23.81,40.00,False
24.64,45.00,True
26.64,45.00,False
27.50,50.00,True
29.50,50.00,False
30.32,55.00,True
32.32,55.00,False
33.04,60.00,True
35.04,60.00,False
35.66,65.00,True
37.66,65.00,False
38.29,70.00,True
40.29,70.00,False
40.93,75.00,True
42.93,75.00,False
43.57,80.00,True
45.57,80.00,False
46.18,85.00,True
48.18,85.00,False
48.82,90.00,True
50.82,90.00,False
51.66,95.00,True
53.66,95.00,False
54.26,100.00,True
56.26,100.00,False
56.91,105.00,True
58.91,105.00,False
59.47,110.00,True
61.47,110.00,False
62.02,115.00,True
64.02,115.00,False
64.67,120.00,True
66.68,120.00,False
67.41,125.00,True
69.41,125.00,False
70.42,130.00,True
72.42,130.00,False
73.43,135.00,True
75.43,135.00,False
76.29,140.00,True
78.29,140.00,False
79.28,145.00,True
81.28,145.00,False
82.29,150.00,True
84.29,150.00,False
