Time (s),Pressure (mmHg),On Target
11.90,20.00,True
16.90,20.00,False
18.38,30.00,True
18.48,30.00,False
19.86,40.00,True
19.97,40.00,False
21.06,50.00,True
21.16,50.00,False
22.15,60.00,True
22.26,60.00,False
23.06,70.00,True
23.17,70.00,False
23.96,80.00,True
24.06,80.00,False
25.00,90.00,True
25.11,90.00,False
25.91,100.00,True
26.02,100.00,False
34.15,110.00,True
34.25,110.00,False
36.18,120.00,True
36.29,120.00,False
37.48,130.00,True
37.59,130.00,False
38.58,140.00,True
38.68,140.00,False
44.07,150.00,True
44.17,150.00,False
