Time (s),Pressure (mmHg),On Target
19.34,60.00,True
24.34,60.00,False
25.27,65.00,True
27.27,65.00,False
27.83,70.00,True
29.83,70.00,False
30.44,75.00,True
32.44,75.00,False
33.01,80.00,True
35.01,80.00,False
35.59,85.00,True
37.59,85.00,False
38.16,90.00,True
40.16,90.00,False
40.61,95.00,True
42.61,95.00,False
42.98,100.00,True
44.98,100.00,False
45.46,105.00,True
47.46,105.00,False
48.10,110.00,True
50.10,110.00,False
50.72,115.00,True
52.72,115.00,False
53.20,120.00,True
55.20,120.00,False
55.68,125.00,True
57.68,125.00,False
58.31,130.00,True
60.31,130.00,False
