Time (s),Pressure (mmHg)
5.61,29.74
5.65,30.22
5.67,30.15
5.70,30.41
5.72,30.75
5.74,30.82
5.77,30.99
5.79,31.32
5.81,31.32
5.84,31.58
5.86,31.92
5.88,32.01
5.91,32.06
5.93,32.40
5.95,32.56
5.98,32.64
6.00,32.73
6.02,33.21
6.05,33.28
6.07,33.38
6.09,33.78
6.12,33.97
6.14,34.38
6.16,34.36
6.19,34.69
6.21,34.93
6.23,35.24
6.26,35.24
6.28,35.60
6.30,35.53
6.32,35.62
6.35,36.03
6.37,36.43
6.39,36.58
6.42,36.70
6.44,36.79
6.46,36.94
6.49,37.22
6.51,37.44
6.53,37.89
6.56,38.03
6.58,38.30
6.60,38.46
6.63,38.78
6.65,38.68
6.67,38.80
6.70,39.13
6.72,39.32
6.74,39.52
6.77,39.87
6.79,40.21
6.81,40.38
6.84,40.57
6.86,40.69
6.88,40.78
6.91,41.09
6.93,41.55
6.95,41.55
6.97,41.83
7.00,42.17
7.02,42.31
7.04,42.48
7.07,42.93
7.09,43.27
7.11,43.48
7.14,43.77
7.16,43.94
7.18,43.91
7.21,44.25
7.23,44.49
7.25,44.84
7.28,45.25
7.30,45.51
7.32,45.51
7.35,45.90
7.37,46.18
7.39,46.42
7.42,46.73
7.44,46.90
7.46,47.04
7.49,47.23
7.51,47.73
7.53,47.90
7.56,48.14
7.58,48.57
7.60,48.67
7.63,48.74
7.65,48.93
7.67,49.50
7.69,49.50
7.72,50.08
7.74,50.58
7.76,50.75
7.79,50.94
7.81,51.25
7.83,51.34
7.86,51.80
7.88,51.77
7.90,51.89
7.93,52.42
7.95,52.37
7.97,52.75
8.00,52.97
8.02,53.52
8.04,53.54
8.07,54.11
8.09,54.11
8.11,54.23
8.14,54.64
8.16,54.85
8.18,55.57
8.21,55.52
8.23,55.93
8.25,56.36
8.28,56.50
8.30,56.91
8.32,56.86
8.34,57.15
8.37,57.53
8.39,57.60
8.41,57.96
8.44,58.37
8.46,58.49
8.48,58.75
8.51,59.06
8.53,59.75
8.55,60.13
8.58,60.54
8.60,60.68
8.62,60.71
8.65,61.02
8.67,61.14
8.69,61.26
8.72,61.59
8.74,61.81
8.76,62.19
8.79,62.40
8.81,62.55
8.83,62.74
8.86,63.05
8.88,63.34
8.90,63.55
8.93,63.67
8.95,64.10
8.97,64.05
9.00,64.65
9.02,64.56
9.04,65.01
9.06,65.27
9.09,65.51
9.11,65.85
9.13,65.85
9.16,66.42
9.18,66.42
9.20,66.78
9.23,66.82
9.25,67.23
9.27,67.42
9.30,67.47
9.32,68.09
9.34,68.43
9.37,69.50
9.39,69.50
9.41,69.95
9.44,70.36
9.81,68.38
9.83,68.66
9.85,68.74
9.87,68.57
9.90,68.69
9.92,68.74
9.94,68.95
9.97,69.31
9.99,69.21
10.01,69.29
10.04,69.69
10.06,69.48
10.08,69.74
10.11,69.86
10.13,70.00
10.15,69.91
10.18,70.46
10.20,71.17
10.22,71.46
10.25,72.03
10.27,72.42
10.29,72.65
10.32,72.53
10.34,72.61
10.36,72.85
10.39,72.77
10.41,72.51
10.43,72.68
10.46,72.75
10.48,72.61
10.50,72.92
10.52,72.85
10.55,73.08
10.57,73.37
10.59,73.44
10.62,73.54
10.64,73.40
10.66,73.73
10.69,73.78
10.71,73.63
10.73,73.85
10.76,73.73
10.78,73.97
10.80,73.83
10.83,74.11
10.85,74.23
10.87,74.02
10.90,74.28
10.92,74.09
10.94,74.45
10.97,74.30
10.99,74.49
11.01,74.76
11.04,75.14
11.06,76.31
11.08,76.48
11.11,77.27
11.13,77.15
11.15,77.46
11.17,77.19
11.20,77.46
11.22,77.39
11.24,77.12
11.27,77.15
11.29,76.96
11.31,77.15
11.34,77.00
11.36,77.10
11.38,77.39
11.41,77.55
11.43,77.86
11.45,77.70
11.48,78.10
11.50,77.89
11.52,77.89
11.55,78.17
11.57,78.17
11.59,78.08
11.62,78.10
11.64,78.17
11.66,78.29
11.69,78.22
11.71,78.27
11.73,78.60
11.76,78.77
11.78,78.79
11.80,78.63
11.83,78.89
11.85,78.94
11.87,79.01
11.89,78.99
11.92,79.99
11.94,81.04
11.96,81.45
11.99,82.38
12.01,82.52
12.03,82.43
12.06,82.55
12.08,82.86
12.10,82.78
12.13,82.50
12.15,82.21
12.17,82.12
12.20,82.24
12.22,82.19
12.24,82.00
12.27,82.04
12.29,82.33
12.31,82.21
12.34,82.26
12.36,82.52
12.38,82.52
12.41,82.59
12.43,82.57
12.45,82.40
12.48,82.43
12.50,82.67
12.52,82.71
12.54,82.76
12.57,82.57
12.59,82.62
12.61,82.86
12.64,83.00
12.66,82.86
12.68,82.95
12.71,83.07
12.73,83.41
12.75,83.43
12.78,83.36
12.80,83.50
12.82,84.31
12.85,85.48
12.87,85.80
12.89,86.13
12.92,86.63
12.94,86.82
12.96,86.94
12.99,87.42
13.01,87.35
13.03,87.30
13.06,86.99
13.08,86.85
13.10,86.80
13.13,86.56
13.15,86.49
13.17,86.51
13.20,86.25
13.22,86.34
13.24,86.27
13.26,86.58
13.29,86.39
13.31,86.39
13.33,86.37
13.36,86.51
13.38,86.58
13.40,86.66
13.43,86.82
13.45,87.11
13.47,87.18
13.50,87.35
13.52,87.52
13.54,87.61
13.57,87.68
13.59,87.87
13.61,87.92
13.64,88.14
13.66,88.38
13.68,88.57
13.71,89.47
13.73,89.93
13.75,90.79
13.78,91.12
13.80,91.36
13.82,91.46
13.85,91.39
13.87,91.51
13.89,91.41
13.91,91.15
13.94,90.98
13.96,90.88
13.98,90.84
14.01,90.84
14.03,90.74
14.05,90.76
14.08,90.74
14.10,90.86
14.12,90.96
14.15,91.00
14.17,91.17
14.19,91.24
14.22,91.43
14.24,91.55
14.26,91.72
14.29,91.82
14.31,92.05
14.33,91.94
14.36,92.05
14.38,92.17
14.40,92.20
14.43,92.27
14.45,92.37
14.47,92.75
14.50,92.94
14.52,93.08
14.54,93.39
14.57,94.47
14.59,94.92
14.61,95.33
14.63,95.50
14.66,95.85
14.68,96.28
14.70,96.12
14.73,96.47
14.75,96.36
14.77,96.09
14.80,95.71
14.82,95.54
14.84,95.47
14.87,95.64
14.89,95.61
14.91,95.61
14.94,95.69
14.96,95.71
14.98,95.59
15.01,95.69
15.03,96.16
15.05,96.16
15.08,96.45
15.10,96.47
15.12,96.31
15.15,96.50
15.17,96.57
15.19,96.98
15.22,97.14
15.24,97.17
15.26,97.31
15.28,97.38
15.31,97.26
15.33,97.31
15.35,97.74
15.38,97.81
15.40,97.93
15.42,97.81
15.45,98.51
15.47,99.06
15.49,99.56
15.52,100.03
15.54,100.42
15.56,100.70
15.59,100.75
15.61,100.56
15.63,100.56
15.66,100.66
15.68,100.54
15.70,100.01
15.73,99.94
15.75,100.27
15.77,100.11
15.80,100.47
15.82,100.49
15.84,100.54
15.87,100.47
15.89,100.47
15.91,100.85
15.94,100.70
15.96,100.80
15.98,100.87
16.00,101.13
16.03,101.11
16.05,101.16
16.07,101.56
16.10,101.42
16.12,101.47
16.14,101.66
16.17,101.97
16.19,101.99
16.21,101.85
16.24,101.95
16.26,102.40
16.28,102.35
16.31,103.28
16.33,103.59
16.35,103.81
16.38,104.50
16.40,104.57
16.42,104.45
16.45,104.65
16.47,104.50
16.49,104.14
16.52,104.10
16.54,104.00
16.56,103.79
16.59,104.19
16.61,104.31
16.63,104.53
16.65,104.65
16.68,104.60
16.70,104.86
16.72,104.93
16.75,104.77
16.77,105.03
16.79,104.86
16.82,104.91
16.84,105.22
16.86,105.05
16.89,105.46
16.91,105.24
16.93,105.39
16.96,105.79
16.98,105.65
17.00,106.01
17.03,105.91
17.05,106.10
17.07,106.15
17.10,106.08
17.12,106.46
17.14,106.46
17.17,107.44
17.19,107.90
17.21,108.33
17.24,108.28
17.26,108.42
17.28,108.37
17.31,107.99
17.33,108.09
17.35,107.51
17.37,107.51
17.40,107.75
17.42,107.61
17.44,107.80
17.47,108.25
17.49,108.13
17.51,108.47
17.54,108.33
17.56,108.66
17.58,108.66
17.61,108.49
17.63,108.73
17.65,108.61
17.68,108.92
17.70,108.97
17.72,109.16
17.75,109.07
17.77,109.26
17.79,109.47
17.82,109.57
17.84,109.71
17.86,109.59
17.89,109.88
17.91,109.78
17.93,110.07
17.96,110.17
17.98,110.28
18.00,110.17
18.02,110.38
18.05,111.24
18.07,112.08
18.09,112.12
18.12,112.46
18.14,112.32
18.16,112.48
18.19,112.08
18.21,112.17
18.23,111.65
18.26,111.69
18.28,111.50
18.30,111.62
18.33,111.86
18.35,112.22
18.37,112.10
18.40,112.39
18.42,112.27
18.44,112.58
18.47,112.65
18.49,112.48
18.51,112.53
18.54,112.60
18.56,112.89
18.58,112.91
18.61,113.10
18.63,113.01
18.65,113.34
18.68,113.18
18.70,113.51
18.72,113.30
18.74,113.37
18.77,113.49
18.79,113.61
18.81,113.73
18.84,114.01
18.86,113.96
18.88,114.27
18.91,114.80
18.93,115.40
18.95,115.80
18.98,115.92
19.00,115.95
19.02,115.83
19.05,115.61
19.07,115.25
19.09,115.16
19.12,115.04
19.14,115.28
19.16,115.16
19.19,115.68
19.21,115.56
19.23,115.90
19.26,116.02
19.28,116.07
19.30,115.83
19.33,115.92
19.35,116.19
19.37,115.99
19.39,116.28
19.42,116.35
19.44,116.35
19.46,116.19
19.49,116.54
19.51,116.71
19.53,116.47
19.56,116.81
19.58,116.64
19.60,116.93
19.63,116.78
19.65,117.05
19.67,117.09
19.70,117.64
19.72,118.26
19.74,118.31
19.77,118.77
19.79,118.60
19.81,118.81
19.84,118.34
19.86,118.46
19.88,118.26
19.91,117.91
19.93,118.15
19.95,118.00
19.98,118.26
20.00,118.46
20.02,118.72
20.04,118.93
20.07,118.74
20.09,119.01
20.11,118.79
20.14,118.86
20.16,118.89
20.18,119.12
20.21,119.22
20.23,119.29
20.25,119.39
20.28,119.55
20.30,119.41
20.32,119.44
20.35,119.55
20.37,119.87
20.39,119.75
20.42,120.06
20.44,119.87
20.46,120.18
20.49,120.25
20.51,120.15
20.53,120.08
20.56,120.30
20.58,120.65
20.60,121.51
20.63,121.75
20.65,122.16
20.67,122.11
20.70,122.06
20.72,122.02
20.74,122.11
20.76,121.97
20.79,121.78
20.81,121.54
20.83,121.75
20.86,121.54
20.88,121.92
20.90,121.75
20.93,121.94
20.95,122.09
20.97,122.14
21.00,122.18
21.02,122.40
21.04,122.21
21.07,122.45
21.09,122.33
21.11,122.54
21.14,122.71
21.16,122.54
21.18,122.85
21.21,123.02
21.23,122.90
21.25,122.88
21.28,123.00
21.30,123.33
21.32,123.40
21.35,123.26
21.37,123.54
21.39,123.33
21.41,123.69
21.44,123.93
21.46,123.93
21.48,124.67
21.51,125.12
21.53,125.31
21.55,125.12
21.58,124.86
21.60,124.95
21.62,124.64
21.65,124.79
21.67,124.57
21.69,124.72
21.72,124.62
21.74,125.00
21.76,124.88
21.79,125.10
21.81,125.38
21.83,125.36
21.86,125.48
21.88,125.43
21.90,125.19
21.93,125.29
21.95,125.58
21.97,125.41
22.00,125.74
22.02,125.53
22.04,125.72
22.07,125.81
22.09,126.05
22.11,125.84
22.13,126.17
22.16,126.29
22.18,126.05
22.20,126.15
22.23,126.41
22.25,126.24
22.27,126.53
22.30,126.53
22.32,126.75
22.34,127.42
22.37,127.87
22.39,127.80
22.41,127.96
22.44,127.56
22.46,127.68
22.48,127.42
22.51,127.30
22.53,127.53
22.55,127.58
22.58,127.46
22.60,127.53
22.62,127.82
22.65,128.04
22.67,127.82
22.69,128.11
22.72,128.16
22.74,127.87
22.76,127.94
22.78,128.23
22.81,128.28
22.83,128.13
22.85,128.39
22.88,128.54
22.90,128.35
22.92,128.39
22.95,128.49
22.97,128.75
22.99,128.82
23.02,128.97
23.04,128.75
23.06,129.02
23.09,129.06
23.11,128.90
23.13,129.06
23.16,129.49
23.18,130.09
