Time (s),Pressure (mmHg)
5.95,36.53
7.41,50.60
7.44,51.17
7.46,51.13
7.50,51.72
7.51,51.65
7.53,52.03
7.57,52.15
7.59,52.56
7.61,52.61
7.64,53.16
7.65,53.01
7.68,53.20
7.71,53.42
7.72,53.85
7.74,53.85
7.78,54.69
7.79,54.76
7.82,55.14
7.85,55.43
7.86,55.59
7.89,55.95
7.92,56.29
7.93,56.22
7.95,56.60
7.99,56.79
8.01,57.05
8.03,57.00
8.06,57.41
8.08,57.79
8.10,57.91
8.12,58.15
8.14,58.51
8.17,58.82
8.19,58.72
8.22,59.11
8.23,59.44
8.26,59.51
8.29,59.75
8.30,59.92
8.33,60.47
8.35,60.59
8.38,60.73
8.39,61.14
8.43,61.57
8.44,61.50
8.47,61.85
8.50,62.04
8.51,62.38
8.54,62.74
8.57,63.02
8.59,63.24
8.60,63.14
8.64,63.45
8.65,63.93
8.68,64.27
8.71,65.27
8.73,65.99
8.74,66.18
8.76,66.18
8.80,66.73
8.81,66.68
8.84,66.75
8.87,67.16
8.89,67.64
8.91,67.54
8.94,67.97
8.96,68.02
8.98,68.23
9.01,68.64
9.02,68.88
9.04,69.50
9.08,69.62
9.09,70.00
9.11,70.22
9.14,70.34
9.16,70.69
9.19,70.88
9.22,70.96
9.23,71.12
9.26,71.63
9.29,71.60
9.30,71.82
9.32,72.01
9.36,72.58
9.38,72.68
9.39,72.82
9.43,72.89
9.45,73.37
9.47,73.58
9.49,73.70
9.52,73.73
9.54,74.01
9.55,74.47
9.59,75.88
9.60,76.28
11.97,84.60
12.16,85.98
12.34,88.83
12.38,88.83
12.39,88.78
12.43,88.56
12.45,88.45
12.49,88.28
12.52,88.18
12.54,88.09
12.57,88.02
12.58,87.99
12.61,88.02
12.64,88.02
12.66,88.06
12.67,88.14
12.71,88.30
12.73,88.66
12.74,88.80
12.78,88.92
12.79,89.11
12.81,89.11
12.84,89.31
12.87,89.40
12.89,89.59
12.92,89.62
12.94,89.71
12.96,89.78
12.99,90.26
13.00,90.72
13.03,91.22
13.05,92.01
13.08,92.44
13.09,92.51
13.12,92.53
13.14,92.65
13.17,92.67
13.18,92.70
13.22,92.36
13.23,92.34
13.26,92.22
13.29,92.20
13.30,92.41
13.32,92.41
13.36,92.39
13.38,92.44
13.40,92.44
13.43,92.27
13.45,92.41
13.47,92.46
13.49,92.84
13.52,92.94
13.53,93.01
13.57,93.13
13.58,93.25
13.61,93.15
13.64,93.18
13.66,93.63
13.68,93.68
13.70,93.63
13.73,93.87
13.75,94.01
13.77,94.23
13.79,94.23
13.82,94.61
13.84,95.04
13.87,96.26
13.89,96.57
13.91,96.62
13.94,97.14
13.96,97.19
13.98,96.95
14.01,97.05
14.02,97.29
14.05,97.24
14.08,97.07
14.09,96.81
14.12,96.78
14.15,96.74
14.17,96.97
14.18,97.02
14.22,96.78
14.23,96.88
14.26,96.90
14.29,97.17
14.30,97.26
14.33,97.14
14.35,97.24
14.38,97.38
14.40,97.64
14.41,97.76
14.45,97.67
14.47,97.93
14.49,98.15
14.52,98.19
14.54,98.34
14.56,98.12
14.59,98.46
14.60,98.53
14.62,98.55
14.66,98.48
14.68,98.58
14.69,98.96
14.73,100.03
14.75,100.30
14.77,100.77
14.79,101.54
14.81,101.37
14.83,101.61
14.87,101.44
14.89,101.54
14.91,101.35
14.94,101.35
14.95,100.97
14.98,101.16
15.01,101.13
15.02,100.97
15.04,101.08
15.07,101.37
15.09,101.28
15.11,101.37
15.14,101.61
15.17,101.47
15.18,101.56
15.21,101.80
15.24,101.83
15.26,101.99
15.28,102.04
15.31,101.97
15.32,101.99
15.34,102.40
15.38,102.26
15.39,102.35
15.42,102.73
15.44,102.59
15.47,102.97
15.49,102.97
15.52,102.85
15.54,103.09
15.56,103.21
15.59,103.45
15.61,104.43
15.62,104.62
15.66,105.39
15.68,105.31
15.69,105.50
15.73,105.67
15.75,105.41
15.77,105.46
15.78,105.03
15.82,104.98
15.84,104.86
15.86,104.60
15.89,104.98
15.90,105.03
15.93,105.03
15.95,105.36
15.98,105.31
16.00,105.60
16.03,105.39
16.05,105.50
16.07,105.46
16.09,105.53
16.11,105.60
16.14,105.72
16.17,105.70
16.19,105.96
16.20,105.79
16.24,105.98
16.26,106.34
16.28,106.36
16.31,106.32
16.32,106.41
16.35,106.51
16.38,106.89
16.40,106.94
16.41,107.06
16.43,107.11
16.47,107.68
16.49,108.54
16.51,108.61
16.54,109.11
16.56,108.90
16.57,108.87
16.61,108.66
16.63,108.49
16.64,108.42
16.68,108.11
16.70,108.32
16.71,108.13
16.75,108.59
16.77,108.78
16.79,108.66
16.82,109.06
16.84,108.97
16.86,109.26
16.89,109.11
16.90,109.40
16.93,109.14
16.96,109.45
16.98,109.30
16.99,109.40
17.03,109.49
17.05,109.57
17.07,109.69
17.09,110.14
17.12,110.04
17.14,110.02
17.16,110.31
17.19,110.21
17.20,110.55
17.23,110.64
17.26,110.57
17.28,110.76
17.30,110.95
17.33,111.50
17.34,112.05
17.37,112.43
17.40,112.72
17.42,112.72
17.43,112.39
17.47,112.22
17.49,112.29
17.50,112.00
17.54,111.86
17.56,111.81
17.58,111.86
17.60,112.19
17.63,112.19
17.64,112.53
17.68,112.46
17.70,112.77
17.72,112.77
17.75,112.91
17.77,112.72
17.78,112.96
17.81,112.77
17.84,113.10
17.86,112.89
17.87,113.20
17.91,113.15
17.93,113.46
17.95,113.39
17.98,113.53
18.00,113.84
18.01,113.87
18.05,113.96
18.07,114.01
18.08,113.87
18.12,113.94
18.14,114.30
18.16,114.15
18.19,114.68
18.20,114.77
18.23,115.42
18.26,115.75
18.28,116.06
18.30,116.09
18.32,115.75
18.34,115.75
18.37,115.40
18.39,115.52
18.42,115.30
18.43,115.49
18.47,115.32
18.49,115.61
18.51,115.92
18.53,116.02
18.56,116.18
18.58,116.04
18.60,116.28
18.63,116.11
18.65,116.42
18.67,116.40
18.70,116.30
18.71,116.59
18.74,116.69
18.77,116.78
18.79,116.64
18.80,116.71
18.84,116.90
18.86,117.16
18.88,117.04
18.91,117.16
